 L'idée n'a rien de très nouveau, mais je sais que je peux lancer le projet.                                                                                          ;Cela va marcher : mon idée est incroyable !                                                                                             
 L'entrepreneur n'a pas de vie.                                                                                                                                       ; L'entrepreneur est libre !                                                                                                              
 Entreprendre, c'est gagner de l'argent.                                                                                                                              ; Entreprendre, c'est réaliser ses rêves.                                                                                                 
 Un temps pour tout, car mon temps perso est aussi important.; Cela ne m'inquiète pas de finir très tard le soir.                                                                                      
 Je suis un sérial entrepreneur.                                                                                                                                      ; Lancer une boite, c'est trop sérieux pour s'éparpiller.                                                                                 
 Rien contre une bonne fête de temps en temps, mais il faut avouer que ça n'accélère pas le busines                                                                   ; Grosses soirées, même les soirs de la semaine ! C'est sympa et on rencontre du monde.                                                   
 Je peux travailler beaucoup s'il le faut. S'il le faut vraiment !                                                                                                    ; Je suis un workaholic.                                                                                                                  
 J'aime terminer correctement chaque tâche que j'entame. Du travail bien fait !                                                                                       ; J'aime passer rapidement d'une tâche à l'autre. Un vrai zappeur !                                                                       
 Est-il vraiment nécessaire que j'intervienne ? Chacun est grand après tout !                                                                                         ; J'aime me sentir responsable d'autres personnes.                                                                                        
 Peu disponible, j'ai fait avancer mon projet comme je pouvais, entre minuit et 2h ...                                                                                ; J'étais disponible à plein temps, à 100% sur le projet.                                                                                 
 J'ai souvent gagné ma crédibilité par la qualité de mes actions.                                                                                                     ; Je dois avoir une bonne tête,  visiblement on me fait facilement confiance !                                                            
 C'est quand même mieux fait et plus complet à plusieurs !                                                                                                            ; C'est quand même plus simple et plus rapide tout seul.                                                                                  
" J'aime bien l'idée du génie qui est aussi ""loup solitaire"".                                                                                                          "; Je suis particulièrement sociable.                                                                                                      
 J'ai dix numéro dans mon répertoire. En comptant celui de ma maman.                                                                                                  ; J'adore réseauter !                                                                                                                     
 Faire confiance, c'est gagner beaucoup de temps.                                                                                                                     ; Faire confiance, c'est faire preuve d'un peu de naïveté.                                                                                
 Si je tombe, je risque de me casser une jambe.                                                                                                                       ; C'est en tombant qu'on devient cavalier !                                                                                               
 Il y a certainement une bonne raison pour que personne ne l'ait jamais fait.                                                                                         ; Si je n'essaie pas, je ne peux pas savoir si cela fonctionne !                                                                          
 Ah ! L'adrénaline d'un pari un peu risqué !                                                                                                                          ; Je ne parie jamais si je ne suis pas sûr de gagner !                                                                                    
 N'importe qui peut créer sa boîte, peu importe sa classe sociale.                                                                                                    ; Il faut être relativement riche pour créer sa boite                                                                                     
 Tout est question de priorité. Moi, j'ai besoin de mes 8 heures de sommeil                                                                                           ; J'ai beau essayer, je n'ai même pas le temps de dormir plus de 4h par nuit !                                                            
 Après 20h, on est enfin tranquille pour travailler efficacement.                                                                                                     ; Dossier tôt le matin, divin travail !                                                                                                   
 Je suis dans l'effectuation.                                                                                                                                         ; Je suis dans la planification.                                                                                                          
 J'attends d'être bien stressé pour être vraiment efficace.                                                                                                           ; Je m'organise pour éviter un maximum de situations très stressantes.                                                                    
 Impossible de me rouler dans la farine !                                                                                                                             ; J'ai tendance à être un peu candide.                                                                                                    
 Le sport ? Oui, sur console !                                                                                                                                        ; Une semaine sans sport ? Impensable. Un esprit sain dans un corps sain !                                                                
 La vie n'est pas toujours drôle, et moi non plus.                                                                                                                    ; Je suis toujours de bonne humeur !                                                                                                      
 Le respect systématique des règles permet le respect des gens qui nous entourent.                                                                                    ; Ah, il y avait une règle à suivre ? Mince !                                                                                             
 Je n'envisage pas la possibilité de faire un double 6 avec deux dés.                                                                                                 ; J'ai toujours une chance d'enfer !                                                                                                      
 Je sais parler devant du monde, mais mon corps me rappelle souvent que je n'aime pas ça.                                                                             ; Parler devant du monde est un plaisir.                                                                                                  
 Si vous le dites : c'est vous le spécialiste !                                                                                                                       ; En général, j'ai raison.                                                                                                                
 Si je me demande comment ça marche, je préfère demander l'avis d'un expert.                                                                                          ; Je trouve toujours les infos, Google est mon allié.                                                                                     
 Je n'ai pas de domaine d'expertise, mais je suis curieux de tout.                                                                                                    ; Je suis près d'être un expert sur plusieurs sujets.                                                                                     
 J'ai un vague souvenir d'une BD plutôt sympa, que j'avais lue chez mon frère.                                                                                        ; Je lis un livre par semaine en moyenne.                                                                                                 
 Je rêve de voyages, encore faudrait-il avoir un peu de temps.                                                                                                        ; Il faut voyager ! La vie est courte.                                                                                                    
 Tentons un smash orgueilleux : si ça passe pas, ça débarrasse.                                                                                                       ; 8 balles de match contre moi : ce n'est pas fini !                                                                                      
 Plutôt passer à autre chose que perdre trop de temps.                                                                                                                ; Je peux passer des heures à trouver une solution                                                                                        
 Il faut se rendre à l'évidence. Il y a peu de chances que cela fonctionne.                                                                                           ;" Comment ça, ""improbable"" ?! Je suis persuadé que cela va réussir.                                                                       "
 J'espère bien rester anonyme.                                                                                                                                        ; J'ai envie d'être connu ou reconnu.                                                                                                     
 Je veux changer le monde !                                                                                                                                           ; J'ai de l'ambition, mais pas celle de changer le monde.                                                                                 
 J'accepte tous ces efforts et sacrifices pour être indépendant et maître de mon projet.                                                                              ; J'accepte tous ces efforts et sacrifices dans le but de gagner beaucoup d'argent.                                                       
 Je fais plutôt confiance à ma capacité d'analyse.                                                                                                                    ; Je fais très facilement confiance à mon instinct.                                                                                       
 La prise de décision doit être réfléchie et ne laisse que peu de place au doute.                                                                                     ; La prise de décision doit être rapide et efficace, l'important est de trancher.                                                         
 Je suis en général assez sûr de moi et n'ai pas besoin d'avis extérieurs pour faire mes choix.                                                                       ; Je tiens compte des conseils des autres dans mes choix.                                                                                 
 L'humilité est une vertu.                                                                                                                                            ; L'humilité, pour quoi faire ?                                                                                                           
 Générosité = se faire avoir.                                                                                                                                         ; Générosité = être sympa.                                                                                                                
 Pour réussir, il faut parfois faire des concessions quitte à s'éloigner un peu de ses valeurs.                                                                       ; Je fais parfois des choix peu stratégiques pour ne pas aller à l'encontre de mes valeurs.                                               
 Le tri sélectif, c'est un effort qui ne sert pas à grand chose.                                                                                                      ; Le tri sélectif, c'est un effort qui payera pour les générations futures.                                                               
 Je sais développer et consolider un business. Je prends note de mes autres idées pour plus tard.                                                                     ; J'ai dix idées par jour, et je m'amuse à en lancer un maximum.                                                                          
 Avec trois stylos, j'écris, je souligne et je corrige.                                                                                                               ; Avec trois stylos j'invente l'hydroénergie.                                                                                             
