entreprise;tags;photo;date;cat;adresse;ville;region;pays;long;lat;horaires;tel;mail;site;twitter;facebook;NOM;description;linkedin
Upsters;entrepreneur[]entreprenariat[]ressources[]startup;/2016/06/172_Logo-Upsters.jpg;1466159597;info;29 Quai St Vincent;Lyon;Rhône;France;45.7685207;4.823541699999964;;;ppjoydev@gmail.com;upsters.fr;;https://www.facebook.com/upsterswebsite/;Upsters;Plateforme dédiée aux entrepreneurs;
BEELYS;;/2016/04/176_beelys_carre.png;1459849460;conseil;210 Avenue Jean Jaurès;Lyon;Rhône;France;45.735156;4.8357409999999845;;;;https://www.beelys.camp/;;; HerveSultana;Tu es étudiant ou jeune diplômé sur Lyon/StEtienne ? Et tu souhaites être formé à l’entrepreneuriat et à l’innovation ? Beelys t’accompagne et t’aide à concrétiser ton idée ou ton projet de création;
IN EXTENSO;prévisionnel financier[]financements[]juridique[]comptabilité[]innovation;;1461920326;comptabilite;Lyon;Lyon;Rhône;France;45.75826;4.855387000000064;;06 87 08 14 51;leslie.bonsacquet@inextenso.fr;http://www.pointc.fr/    http://www.inextenso.fr;;; Leslie BONSACQUET;Construction du projet -Elaboration du prévisionnel financier Rédaction du Business Plan Recherche de financements Choix du statut et démarches juridiques Suivi comptable, juridique et gestion sociale;
IAE LYON;;;1460717359;formation;Cours Albert Thomas;Lyon;Auvergne Rhône-Alpes;France;45.7463633;4.868920099999968;;;;www.FFF.com;;; Virginie Gallego-Roquelaure;GRH, management, entrepreneuriat, territoire;
ACCOMPAGNEMENT A LA CREATION D'ENTREPRISE - CHOIX DE FORME JURIDIQUE - BUSINESS PLAN ORGANISATION COMPTABLE - CONSEILS - RESULTAT FLASH - DECLARATIONS FISCALES ET SOCIALES - LIASSES FISCALES;COMPTABLE[]expert comptable[]conseils[]start up[]previsionnel;;1465390618;comptabilite;35 Avenue Leclerc;Lyon;Auvergne Rhône-Alpes;France;45.7382995;4.82545319999997;;06 08 14 34 14;abaylac@cabconseils.fr;http;;;BAYLAC Alexandre;"ACCOMPAGNEMENT A LA CREATION D'ENTREPRISE - CHOIX DE FORME JURIDIQUE - BUSINESS PLANORGANISATION COMPTABLE - CONSEILS - RESULTAT FLASH - DECLARATIONS FISCALES ET SOCIALES - LIASSES FISCALES";
Freelance;développement[]informatique[]web[]logiciel[]réseau[]administration système[]application[]startup;/2016/04/203_photo.jpg;1461596370;dev;29 Quai St Vincent;Lyon;Auvergne Rhône-Alpes;France;45.7685207;4.823541699999964;9:30 - 20:00;686036143;portejoiepierre@gmail.com;http://pjoy.fr;@pjoy_;http://www.facebook.com/people/Developpement-Web-Lyon/100011868966419;Pierre PORTEJOIE;"Mes compétences sont le développement logiciel, web ou d'applications, l'administration système et les réseaux.Je suis l'un des 2 développeurs d'Upsters !";http://fr.linkedin.com/in/pierre-portejoie-43923381
Université Jean Moulin Lyon 3;;/2016/05/211_Logo_Incubateur_Jean_Moulin.jpg;1465390537;incubateur;22 Rue Professeur Rollet;Lyon;Auvergne Rhône-Alpes;France;45.7470947;4.861115299999938;;;;http://entreprendre.univ-lyon3.fr;;; Incubateur Jean Moulin;2 dispositifs : « Start » et « Up »;
LEXPLUS AVOCATS;avocat[]NTIC[]Levée de fonds[]contrats[]propriété intellectuelle[]fiscalité[]droit des sociétés[]droit de l'informatique[]optimisation fiscale[]droit international[]pacte d'associés[]recouvrement de créances[]contentieux;/2016/05/213_photo-Romain.jpg;1463557521;juridique;44 Rue de la République;Lyon;Auvergne Rhône-Alpes;France;45.7604761;4.8351231000000325;9:00-12:30/14:00-17:00;04 28 40 05 00;romain.luciani@lexplus-avocats.com;http://www.lexplus-avocats.com/;https://twitter.com/LexplusAvocats;https://www.facebook.com/Lexplus-Avocats-584167161686435/; Romain LUCIANI;LEXPLUS AVOCATS accompagne et conseille les entreprises et chefs d'entreprise dans les toutes les étapes majeures de leur développement. ;https://www.linkedin.com/in/romain-luciani-26700430?trk=nav_responsive_tab_profile
CrowdyBase SAS;Crowdfunding[]financement participatif[]Big data;/2016/05/216_German-Bruno.jpg;1464035530;crowdfunding;57 Rue Bossuet;Lyon;Auvergne Rhône-Alpes;France;45.7680324;4.851739199999997;;06 81 81 17 91;contact@crowdybox.com;57, rue Bossuet;@crowdybox;https://www.facebook.com/Crowdybox-La-toolbox-du-crowdfunding-975465595821030/;German BRUNO;Crowdybox.com propose une boîte à outils qui facilite la préparation et la réussite d'une campagne de crowdfunding grâce au Big Data.;https://fr.linkedin.com/in/german-bruno-97419148
LE B612 - Incubateur Caisse d'Epargne Rhône Alpes;startup[]coaching[]innovation[]tech[]fintech[]transformation[]business modeling[]digital[]caisse d'épargne rhône alpes;;1464192477;incubateur;42 Boulevard Eugène Deruelle;Lyon;Auvergne Rhône-Alpes;France;45.7628705;4.856925400000023;;;cedric.nieutin@leb612.com;www.leb612.com;@nieutin_cedric;; cedric.nieutin;Accompagnement, hébergement et financement des startups évoluant dans le champ de la transformation digitale (Fintech, Insuretech, SmartData, Clouds, Security...);linkedin.com/in/nieutin
Confiserie des Arcades;;;1466338557;autres;Saint-Étienne;Saint-Étienne;Auvergne Rhône-Alpes;France;45.3985269;4.41835709999998;;;;www.confiseriedesarcades.fr;;; Tristan THOMAS;Revendeur  B2B et B2C spécialisé en confiserie, Chocolat, épicerie fine;
PrestaConcept;WEB[]PHP[]SYMFONY;/2016/06/307_logo-tagline-couleur.png;1466753360;dev;5 Impasse Morel;Lyon;Auvergne Rhône-Alpes;France;45.7532332;4.879332299999987;;664890900;ppelissier@prestaconcept.net;http://www.prestaconcept.net;@prestaconcept;;Pélissier Philippe;PrestConcept : Développement d'application web sur mesure - expert Symfony;
Kapeos;Levée de fonds[]M&A[]Business Plan[]Valorisation[]Fonds[]Venture[]Retournement;/2016/06/308_k-kapeos-150x140.jpg;1466753456;invest;21 Allée des Primevères 69380;;;;\N;\N;;664890900;philippe.pelissier@kapeos.com;www.kapeos.com;@kapeos;;Pélissier Philippe;Conseil levée de fonds et M&A;
Squadata;bigdata[]emailretargeting[]dmp[]reactivation[]monetisation[]adtech[]publicité;/2016/06/312_logo-squadata-02-orange-1.png;1466756490;marketing;5 Impasse Morel;Lyon;Auvergne Rhône-Alpes;France;45.7532332;4.879332299999987;;664890900;ppelissier@squadata.net;http://www.squadata.net;@squadata;https://www.facebook.com/squadata;Pélissier Philippe;Editeur de solutions BigData de Data Marketing (reciblage publicitaire) : Email Retargeting / Targeting / réactivation / Crm Onboarding / DMP;
